,school_name,school_addr,latitude,longitude,1_stu_num,2_stu_num,3_stu_num,4_stu_num,5_stu_num,6_stu_num
1423,인천서흥초등학교,인천광역시 동구 샛골로 189,37.4789165,126.6445955, 120 , 106 , 110 , 114 , 89 , 124 
1424,인천서림초등학교,인천광역시 동구 금곡로 105,37.4754622,126.6465266, 115 , 120 , 125 , 105 , 105 , 140 
1425,인천동명초등학교,인천광역시 동구 송림로70번길 10,37.47415,126.6421751, 67 , 58 , 62 , 43 , 49 , 42 
1426,영화초등학교,인천광역시 동구 우각로 39,37.4711916,126.6404233, 36 , 36 , 37 , 35 , 19 , 34 
1427,영화초등학교,인천광역시 동구 우각로 39,37.4711916,126.6404233, 176 , 173 , 170 , 181 , 169 , 178 
1428,영화초등학교,인천광역시 동구 우각로 39,37.4711916,126.6404233, 124 , 96 , 109 , 116 , 108 , 99 
1429,영화초등학교,인천광역시 동구 우각로 39,37.4711916,126.6404233, 13 , 16 , 13 , 18 , 20 , 19 
1430,인천숭의초등학교,인천광역시 미추홀구 장천로 99,37.46340429999999,126.655086, 246 , 240 , 215 , 199 , 209 , 229 
1431,인천용정초등학교,인천광역시 미추홀구 독정안길 26,37.4594038,126.6572363, 50 , 34 , 36 , 29 , 37 , 31 
1432,인천용일초등학교,인천광역시 미추홀구 인주대로 244,37.452673,126.66318390000002, 116 , 98 , 110 , 101 , 107 , 123 
1433,인천용현초등학교,인천광역시 미추홀구 낙섬동로 83,37.4534508,126.6414555, 199 , 234 , 193 , 181 , 224 , 221 
1434,인천용현남초등학교,인천광역시 미추홀구 매소홀로 133,37.44772570000001,126.6416335, 166 , 199 , 172 , 180 , 197 , 186 
1435,인천학산초등학교,인천광역시 미추홀구 한나루로357번길 66,37.4394172,126.6582557, 189 , 168 , 190 , 177 , 169 , 154 
1436,인천백학초등학교,인천광역시 미추홀구 매소홀로446번길 25,37.4387974,126.6719871, 57 , 60 , 69 , 86 , 67 , 74 
1437,인천도화초등학교,인천광역시 미추홀구 경인로 242,37.4634425,126.668245, 171 , 156 , 168 , 172 , 168 , 164 
1438,인천문학초등학교,인천광역시 미추홀구 매소홀로 553(문학동),37.4395489,126.6828637, 131 , 129 , 137 , 141 , 149 , 147 
1439,인천관교초등학교,인천광역시 미추홀구 인하로 414,37.44605670000001,126.6925736, 116 , 118 , 122 , 121 , 135 , 144 
1440,인천경원초등학교,인천광역시 미추홀구 경인로 511(주안동),37.4612243,126.6956395, 231 , 276 , 229 , 224 , 221 , 222 
1441,인천석암초등학교,인천광역시 미추홀구 주안동로 46,37.4620725,126.6869618, 175 , 154 , 146 , 136 , 106 , 123 
1442,인천남부초등학교,인천광역시 미추홀구 인주대로366번길 22(주안동),37.45036279999999,126.6762271, 123 , 104 , 136 , 113 , 112 , 139 
1443,인천승학초등학교,인천광역시 미추홀구 주승로 259,37.4403252,126.6963967, 97 , 103 , 99 , 79 , 77 , 84 
1444,인천서화초등학교,인천광역시 미추홀구 송림로 250,37.4737961,126.6609888, 158 , 133 , 124 , 91 , 95 , 114 
1445,인천대화초등학교,인천광역시 미추홀구 석정로301번길 13,37.4688635,126.6686835, 93 , 99 , 89 , 110 , 98 , 103 
1446,인천주안북초등학교,인천광역시 미추홀구 석정로375번길 14,37.4681659,126.6781316, 65 , 74 , 61 , 86 , 77 , 108 
1447,인천주안남초등학교,인천광역시 미추홀구 인주대로434번길 11,37.4500131,126.6852638, 111 , 130 , 125 , 107 , 98 , 150 
1448,인천학익초등학교,인천광역시 미추홀구 한나루로403번길 122(학익동),37.4465409,126.658828, 95 , 110 , 104 , 78 , 111 , 90 
1449,인천인주초등학교,인천광역시 미추홀구 매소홀로475번길 53,37.442388444,126.6737250497, 147 , 120 , 125 , 149 , 139 , 148 
1450,인천연학초등학교,인천광역시 미추홀구 주승로 20,37.4434194,126.671905, 39 , 49 , 41 , 44 , 51 , 68 
1451,연평초등학교,인천광역시 옹진군 연평면 연평로137번길 101,37.6634884,125.7039556, 4 , 9 , 9 , 7 , 9 , 16 
1452,대청초등학교,인천광역시 옹진군 대청면 대청로244번길 110,37.8325787,124.6995157, 103 , 107 , 113 , 91 , 96 , 107 
1453,대청초등학교,인천광역시 옹진군 대청면 대청로244번길 110,37.8325787,124.6995157, 7 , 7 , 9 , 6 , 8 , 5 
1454,대청초등학교,인천광역시 옹진군 대청면 대청로244번길 110,37.8325787,124.6995157, 113 , 111 , 110 , 125 , 122 , 118 
1455,대청초등학교,인천광역시 옹진군 대청면 대청로244번길 110,37.8325787,124.6995157, 203 , 208 , 197 , 191 , 176 , 181 
1456,영흥초등학교,인천광역시 옹진군 영흥면 영흥로 440-8,37.2542151,126.46746740000002, 36 , 38 , 49 , 40 , 29 , 40 
1457,덕적초등학교,인천광역시 옹진군 덕적면 덕적남로 15,37.2255857,126.1475987, 5 , 5 , 6 , 10 , 6 , 3 
1458,북포초등학교,인천광역시 옹진군 백령면 가을길 117,37.9585564,124.6642346, 23 , 21 , 21 , 14 , 20 , 20 
1459,백령초등학교,인천광역시 옹진군 백령면 백령로316번길 91,37.97583579999999,124.7183748, 17 , 19 , 7 , 15 , 9 , 20 
1460,인천공항초등학교신도분교장,인천광역시 옹진군 북도면 신도로896번길 18-31,37.5203188,126.4429946, 6 , 1 , 3 , 2 , 6 , 2 
